               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031474,            0.015414,           0.0015488,             0.73833,             0.83333,              0.8368,             0.60817,            0.029117,           0.0041542,           0.0018773,            0.006535,            0.006535,            0.006535
                  37,             0.03092,            0.015267,            0.001536,             0.88078,                   1,             0.93526,             0.62902,            0.022324,           0.0043708,           0.0017949,            0.006436,            0.006436,            0.006436
                  38,            0.029968,            0.014108,           0.0017964,              0.8504,                   1,             0.95428,             0.63812,            0.025152,           0.0046218,           0.0020164,            0.006337,            0.006337,            0.006337
                  39,            0.030023,            0.015543,           0.0015315,               0.869,                   1,             0.97143,             0.66464,            0.023692,           0.0040815,           0.0019658,            0.006238,            0.006238,            0.006238
                  40,             0.02912,             0.01361,           0.0014484,             0.90953,                   1,              0.9788,             0.71191,            0.022543,            0.003637,            0.002038,            0.006139,            0.006139,            0.006139
                  41,            0.029822,            0.013135,           0.0014632,             0.90092,                   1,             0.97651,             0.62196,            0.024127,           0.0037322,           0.0021938,             0.00604,             0.00604,             0.00604
                  42,            0.031369,            0.012317,           0.0013786,             0.90191,                   1,             0.94942,              0.6297,            0.023593,           0.0039753,           0.0021629,            0.005941,            0.005941,            0.005941
                  43,            0.028056,            0.014032,           0.0016551,             0.90233,                   1,             0.97151,             0.59702,            0.025262,           0.0041099,           0.0020807,            0.005842,            0.005842,            0.005842
                  44,            0.028079,            0.014763,           0.0014342,             0.89331,                   1,             0.94562,             0.74269,            0.017589,           0.0042945,           0.0019329,            0.005743,            0.005743,            0.005743
                  45,            0.028875,            0.014184,           0.0014106,             0.89826,             0.94834,             0.93745,             0.60977,            0.020421,           0.0040885,           0.0018429,            0.005644,            0.005644,            0.005644
                  46,            0.028003,            0.013529,           0.0015675,             0.90292,             0.95293,             0.96624,             0.61243,             0.02571,           0.0042067,           0.0020491,            0.005545,            0.005545,            0.005545
                  47,            0.027447,            0.013497,           0.0013518,             0.89133,                   1,             0.97928,             0.68943,            0.021603,           0.0038931,           0.0020113,            0.005446,            0.005446,            0.005446
                  48,            0.027952,            0.013695,           0.0012406,             0.89069,                   1,             0.98079,             0.66177,            0.019512,            0.003951,           0.0020798,            0.005347,            0.005347,            0.005347
                  49,            0.028745,            0.014458,           0.0014657,             0.90608,                   1,             0.97713,             0.69073,            0.019332,           0.0037802,           0.0020196,            0.005248,            0.005248,            0.005248
                  50,            0.026945,            0.013815,           0.0014044,             0.90611,                   1,             0.97526,             0.63971,             0.02066,           0.0038662,           0.0020768,            0.005149,            0.005149,            0.005149
                  51,            0.026011,            0.013165,           0.0016701,             0.90254,                   1,             0.98979,             0.64505,            0.021567,           0.0037619,           0.0020851,             0.00505,             0.00505,             0.00505
                  52,            0.025459,            0.013386,           0.0012098,             0.90148,                   1,             0.98588,             0.73729,            0.023623,           0.0039238,           0.0021431,            0.004951,            0.004951,            0.004951
                  53,             0.02632,            0.013241,           0.0012871,             0.89709,                   1,             0.97792,             0.72097,             0.02016,           0.0039133,            0.002028,            0.004852,            0.004852,            0.004852
                  54,             0.02675,            0.013199,           0.0014766,             0.74088,             0.83333,             0.86312,              0.6881,            0.021486,           0.0037049,           0.0019101,            0.004753,            0.004753,            0.004753
                  55,            0.026239,            0.012874,              0.0011,             0.90879,                   1,             0.98245,             0.64889,            0.023524,           0.0037623,           0.0019947,            0.004654,            0.004654,            0.004654
                  56,            0.025127,            0.011869,           0.0010261,             0.90926,                   1,             0.98058,             0.64213,            0.021858,           0.0038428,           0.0018854,            0.004555,            0.004555,            0.004555
                  57,            0.025823,            0.012235,           0.0011232,             0.90932,                   1,             0.97089,             0.61409,             0.02203,           0.0038668,           0.0018063,            0.004456,            0.004456,            0.004456
                  58,            0.024775,            0.012587,           0.0010099,             0.91096,                   1,             0.97417,             0.68086,            0.019488,           0.0036469,           0.0018116,            0.004357,            0.004357,            0.004357
                  59,            0.023887,             0.01323,           0.0012979,             0.90832,                   1,             0.94702,             0.68557,            0.021299,           0.0040267,           0.0016774,            0.004258,            0.004258,            0.004258
                  60,            0.024807,            0.012505,           0.0011457,             0.90731,                   1,             0.93971,             0.72296,            0.022373,           0.0043831,           0.0016389,            0.004159,            0.004159,            0.004159
                  61,            0.022825,            0.012915,          0.00090315,              0.9017,             0.99315,             0.95722,             0.62036,            0.019168,           0.0041869,           0.0016334,             0.00406,             0.00406,             0.00406
                  62,            0.025069,            0.012042,           0.0011023,             0.91116,             0.99568,             0.95532,             0.68015,            0.021294,             0.00454,           0.0022797,            0.003961,            0.003961,            0.003961
                  63,            0.024108,            0.012336,          0.00096183,             0.90501,                   1,             0.97651,             0.72851,             0.01914,           0.0043325,           0.0022973,            0.003862,            0.003862,            0.003862
                  64,            0.023843,            0.013499,           0.0011348,             0.90834,                   1,             0.97428,             0.70141,            0.018541,           0.0042587,           0.0022792,            0.003763,            0.003763,            0.003763
                  65,            0.024448,            0.012863,           0.0012477,             0.91092,                   1,             0.96688,             0.65486,            0.020409,           0.0042784,           0.0021564,            0.003664,            0.003664,            0.003664
                  66,            0.022174,            0.012302,           0.0010936,             0.91826,                   1,             0.96056,             0.66522,            0.021661,           0.0042335,           0.0020555,            0.003565,            0.003565,            0.003565
                  67,            0.023271,            0.013171,           0.0011721,             0.90535,             0.97093,              0.9685,             0.66695,            0.021144,           0.0042761,           0.0021695,            0.003466,            0.003466,            0.003466
                  68,            0.022611,             0.01241,           0.0011244,             0.88844,                   1,             0.95462,             0.68655,            0.019386,           0.0047298,           0.0022141,            0.003367,            0.003367,            0.003367
                  69,            0.023132,            0.011836,           0.0010372,             0.89199,              0.9924,             0.95291,             0.68266,            0.022596,           0.0046263,           0.0022815,            0.003268,            0.003268,            0.003268
                  70,             0.02175,            0.011921,          0.00099772,             0.91066,                   1,             0.96612,             0.64678,            0.021046,           0.0044557,           0.0021774,            0.003169,            0.003169,            0.003169
                  71,            0.021819,            0.012106,          0.00098175,             0.90917,              0.9979,               0.956,             0.74367,            0.020425,           0.0044398,           0.0021384,             0.00307,             0.00307,             0.00307
                  72,            0.023348,            0.011333,            0.001033,             0.91029,                   1,             0.96105,             0.72762,            0.021236,           0.0045286,           0.0022069,            0.002971,            0.002971,            0.002971
                  73,            0.022853,            0.011621,          0.00082592,             0.90493,                   1,             0.95279,             0.73185,            0.021767,           0.0044301,           0.0019938,            0.002872,            0.002872,            0.002872
                  74,            0.022529,            0.012063,          0.00093307,             0.90463,                   1,             0.97115,             0.67834,            0.021551,           0.0042795,           0.0017968,            0.002773,            0.002773,            0.002773
                  75,            0.020291,            0.011812,          0.00078707,             0.91186,             0.99948,             0.97556,             0.70533,            0.021155,           0.0043129,           0.0019781,            0.002674,            0.002674,            0.002674
                  76,            0.021919,            0.012315,           0.0011173,             0.90836,                   1,             0.97365,             0.68844,            0.020009,           0.0044831,           0.0019332,            0.002575,            0.002575,            0.002575
                  77,            0.021428,             0.01247,          0.00092373,             0.90751,                   1,              0.9774,              0.6701,            0.020851,           0.0045884,           0.0019919,            0.002476,            0.002476,            0.002476
                  78,            0.020556,            0.011793,           0.0011133,             0.89836,                   1,              0.9774,             0.70086,            0.021752,           0.0044895,           0.0021614,            0.002377,            0.002377,            0.002377
                  79,            0.021607,            0.011986,          0.00075003,             0.87179,                   1,              0.9654,             0.74271,            0.019392,           0.0044305,            0.002076,            0.002278,            0.002278,            0.002278
                  80,            0.020125,            0.011443,          0.00099337,             0.88374,                   1,              0.9692,               0.741,            0.020677,           0.0043836,           0.0022403,            0.002179,            0.002179,            0.002179
                  81,            0.021177,             0.01187,           0.0010968,             0.89578,             0.99361,             0.96261,             0.76877,            0.018982,           0.0043498,           0.0021935,             0.00208,             0.00208,             0.00208
                  82,            0.020288,            0.011548,          0.00090852,             0.90414,                   1,             0.97065,             0.76211,            0.018559,           0.0042537,           0.0021998,            0.001981,            0.001981,            0.001981
                  83,            0.019907,            0.011249,          0.00079457,             0.90482,                   1,             0.96078,             0.73602,             0.01951,           0.0043154,           0.0021252,            0.001882,            0.001882,            0.001882
                  84,            0.019751,            0.011952,           0.0008406,             0.90336,             0.99413,             0.97098,             0.72407,            0.020106,           0.0042965,           0.0020941,            0.001783,            0.001783,            0.001783
                  85,            0.019051,            0.011099,          0.00066209,             0.89239,             0.99235,             0.97053,             0.71019,            0.020408,           0.0043634,           0.0021637,            0.001684,            0.001684,            0.001684
                  86,            0.020185,            0.011324,           0.0011102,             0.90008,                   1,             0.97053,             0.72022,            0.021631,           0.0043449,           0.0021372,            0.001585,            0.001585,            0.001585
                  87,            0.018881,            0.011514,          0.00058521,             0.90933,                   1,             0.98058,             0.71681,            0.020883,           0.0044745,           0.0020755,            0.001486,            0.001486,            0.001486
                  88,            0.020476,            0.012042,          0.00084116,             0.90903,                   1,             0.98353,             0.74777,            0.019437,           0.0043763,           0.0019633,            0.001387,            0.001387,            0.001387
                  89,            0.019526,            0.010866,          0.00076344,             0.90716,                   1,             0.98833,             0.75632,            0.019527,            0.004305,           0.0020245,            0.001288,            0.001288,            0.001288
                  90,             0.01981,            0.011521,           0.0010768,             0.90361,                   1,             0.99167,             0.72037,            0.020047,           0.0043678,           0.0020491,            0.001189,            0.001189,            0.001189
                  91,            0.019692,            0.010707,          0.00077545,             0.90071,                   1,             0.98979,             0.72094,            0.019677,           0.0043036,           0.0020057,             0.00109,             0.00109,             0.00109
                  92,            0.019009,            0.011933,          0.00067563,             0.90178,                   1,             0.99324,             0.70785,            0.020143,           0.0042796,           0.0020203,            0.000991,            0.000991,            0.000991
                  93,            0.019145,            0.010886,          0.00061827,             0.90156,                   1,             0.98979,             0.69442,            0.020796,           0.0043531,           0.0019961,            0.000892,            0.000892,            0.000892
                  94,            0.018063,            0.010915,          0.00082994,             0.90148,                   1,             0.99147,              0.7175,            0.020209,           0.0043747,           0.0020195,            0.000793,            0.000793,            0.000793
                  95,             0.01814,            0.011543,          0.00068411,             0.90201,                   1,             0.99147,             0.72022,            0.020118,           0.0044417,           0.0020891,            0.000694,            0.000694,            0.000694
                  96,            0.020251,            0.011274,           0.0010069,             0.90474,                   1,             0.98792,             0.72007,            0.019881,           0.0044169,           0.0021121,            0.000595,            0.000595,            0.000595
                  97,             0.01831,            0.011162,          0.00087794,             0.90376,                   1,             0.97909,             0.71743,            0.020379,           0.0045794,            0.002168,            0.000496,            0.000496,            0.000496
                  98,            0.019103,            0.011123,          0.00073703,             0.90442,                   1,             0.97678,             0.71496,            0.019791,           0.0045593,           0.0021548,            0.000397,            0.000397,            0.000397
                  99,            0.018301,            0.011403,          0.00091083,             0.90609,                   1,             0.97203,             0.74203,             0.01976,           0.0044851,           0.0021568,            0.000298,            0.000298,            0.000298
